YEAR,months,precipitation,twn,Seasons,rainfall
1985,JAN,0,Baydhabo,Deyr,36.91
1986,JAN,0,Baydhabo,ANN,332.23
1986,JAN,0,Baydhabo,Jilaal,0
1986,JAN,0,Baydhabo,Gu',131.83
1986,JAN,0,Baydhabo,Hagaa,36.91
1986,JAN,0,Baydhabo,Deyr,168.74
1987,JAN,0,Baydhabo,ANN,553.71
1987,JAN,0,Baydhabo,Jilaal,26.37
1987,JAN,0,Baydhabo,Gu',247.85
1987,JAN,0,Baydhabo,Hagaa,10.55
1987,JAN,0,Baydhabo,Deyr,116.01
1988,JAN,0,Baydhabo,ANN,268.95
1988,JAN,0,Baydhabo,Jilaal,10.55
1988,JAN,0,Baydhabo,Gu',152.92
1988,JAN,0,Baydhabo,Hagaa,42.19
1988,JAN,0,Baydhabo,Deyr,63.28
1989,JAN,0,Baydhabo,ANN,474.61
1989,JAN,0,Baydhabo,Jilaal,21.09
1989,JAN,0,Baydhabo,Gu',284.76
1989,JAN,0,Baydhabo,Hagaa,10.55
1989,JAN,0,Baydhabo,Deyr,158.21
1990,JAN,0,Baydhabo,ANN,606.45
1990,JAN,0,Baydhabo,Jilaal,31.64
1990,JAN,0,Baydhabo,Gu',305.86
1990,JAN,0,Baydhabo,Hagaa,10.54
1990,JAN,0,Baydhabo,Deyr,258.4
1991,JAN,5.27,Baydhabo,ANN,369.14
1991,JAN,5.27,Baydhabo,Jilaal,36.91
1991,JAN,5.27,Baydhabo,Gu',200.39
1991,JAN,5.27,Baydhabo,Hagaa,10.54
1991,JAN,5.27,Baydhabo,Deyr,110.74
1992,JAN,0,Baydhabo,ANN,400.78
1992,JAN,0,Baydhabo,Jilaal,5.27
1992,JAN,0,Baydhabo,Gu',147.66
1992,JAN,0,Baydhabo,Hagaa,26.36
1992,JAN,0,Baydhabo,Deyr,221.49
1993,JAN,36.91,Baydhabo,ANN,622.27
1993,JAN,36.91,Baydhabo,Jilaal,42.18
1993,JAN,36.91,Baydhabo,Gu',453.52
1993,JAN,36.91,Baydhabo,Hagaa,0
1993,JAN,36.91,Baydhabo,Deyr,126.56
1994,JAN,0,Baydhabo,ANN,738.28
1994,JAN,0,Baydhabo,Jilaal,5.27
1994,JAN,0,Baydhabo,Gu',290.04
1994,JAN,0,Baydhabo,Hagaa,15.82
1994,JAN,0,Baydhabo,Deyr,416.61
1995,JAN,0,Baydhabo,ANN,469.34
1995,JAN,0,Baydhabo,Jilaal,63.28
1995,JAN,0,Baydhabo,Gu',232.03
1995,JAN,0,Baydhabo,Hagaa,15.82
1995,JAN,0,Baydhabo,Deyr,174.03
1996,JAN,0,Baydhabo,ANN,284.77
1996,JAN,0,Baydhabo,Jilaal,42.19
1996,JAN,0,Baydhabo,Gu',195.12
1996,JAN,0,Baydhabo,Hagaa,0
1996,JAN,0,Baydhabo,Deyr,47.46
1997,JAN,0,Baydhabo,ANN,1302.54
1997,JAN,0,Baydhabo,Jilaal,21.09
1997,JAN,0,Baydhabo,Gu',284.76
1997,JAN,0,Baydhabo,Hagaa,21.09
1997,JAN,0,Baydhabo,Deyr,212.045
1998,JAN,21.09,Baydhabo,ANN,337.5
1998,JAN,21.09,Baydhabo,Jilaal,36.91
1998,JAN,21.09,Baydhabo,Gu',232.03
1998,JAN,21.09,Baydhabo,Hagaa,21.09
1998,JAN,21.09,Baydhabo,Deyr,47.46
1999,JAN,0,Baydhabo,ANN,432.42
1999,JAN,0,Baydhabo,Jilaal,84.38
1999,JAN,0,Baydhabo,Gu',163.47
1999,JAN,0,Baydhabo,Hagaa,5.27
1999,JAN,0,Baydhabo,Deyr,179.3
2000,JAN,0,Baydhabo,ANN,585.35
2000,JAN,0,Baydhabo,Jilaal,0
2000,JAN,0,Baydhabo,Gu',221.48
2000,JAN,0,Baydhabo,Hagaa,21.09
2000,JAN,0,Baydhabo,Deyr,342.77
2001,JAN,0,Baydhabo,ANN,216.21
2001,JAN,0,Baydhabo,Jilaal,0
2001,JAN,0,Baydhabo,Gu',100.2
2001,JAN,0,Baydhabo,Hagaa,42.18
2001,JAN,0,Baydhabo,Deyr,73.83
2002,JAN,0,Baydhabo,ANN,522.07
2002,JAN,0,Baydhabo,Jilaal,15.82
2002,JAN,0,Baydhabo,Gu',184.57
2002,JAN,0,Baydhabo,Hagaa,15.82
2002,JAN,0,Baydhabo,Deyr,305.86
2003,JAN,0,Baydhabo,ANN,569.53
2003,JAN,0,Baydhabo,Jilaal,5.27
2003,JAN,0,Baydhabo,Gu',316.41
2003,JAN,0,Baydhabo,Hagaa,68.55
2003,JAN,0,Baydhabo,Deyr,179.3
2004,JAN,0,Baydhabo,ANN,432.42
2004,JAN,0,Baydhabo,Jilaal,5.27
2004,JAN,0,Baydhabo,Gu',116.01
2004,JAN,0,Baydhabo,Hagaa,26.36
2004,JAN,0,Baydhabo,Deyr,300.59
2005,JAN,0,Baydhabo,ANN,232.03
2005,JAN,0,Baydhabo,Jilaal,26.37
2005,JAN,0,Baydhabo,Gu',147.65
2005,JAN,0,Baydhabo,Hagaa,0
2005,JAN,0,Baydhabo,Deyr,58.01
2006,JAN,5.27,Baydhabo,ANN,711.91
2006,JAN,5.27,Baydhabo,Jilaal,10.54
2006,JAN,5.27,Baydhabo,Gu',195.11
2006,JAN,5.27,Baydhabo,Hagaa,58.01
2006,JAN,5.27,Baydhabo,Deyr,442.97
2007,JAN,0,Baydhabo,ANN,395.51
2007,JAN,0,Baydhabo,Jilaal,5.27
2007,JAN,0,Baydhabo,Gu',137.11
2007,JAN,0,Baydhabo,Hagaa,26.37
2007,JAN,0,Baydhabo,Deyr,237.31
2008,JAN,26.37,Baydhabo,ANN,543.16
2008,JAN,26.37,Baydhabo,Jilaal,26.37
2008,JAN,26.37,Baydhabo,Gu',189.84
2008,JAN,26.37,Baydhabo,Hagaa,21.1
2008,JAN,26.37,Baydhabo,Deyr,305.86
2009,JAN,5.27,Baydhabo,ANN,495.7
2009,JAN,5.27,Baydhabo,Jilaal,15.81
2009,JAN,5.27,Baydhabo,Gu',152.93
2009,JAN,5.27,Baydhabo,Hagaa,5.27
2009,JAN,5.27,Baydhabo,Deyr,321.69
2010,JAN,0,Baydhabo,ANN,485.16
2010,JAN,0,Baydhabo,Jilaal,126.57
2010,JAN,0,Baydhabo,Gu',263.66
2010,JAN,0,Baydhabo,Hagaa,73.82
2010,JAN,0,Baydhabo,Deyr,42.19
2011,JAN,0,Baydhabo,ANN,822.66
2011,JAN,0,Baydhabo,Jilaal,0
2011,JAN,0,Baydhabo,Gu',195.11
